Poligono,Fonte,Status,Observacao
SC 12,PASTOS PECUARIA.kmz,FALTA – inserir,Série SC no geojson vai só até SC 11
SC 13,PASTOS PECUARIA.kmz,FALTA – inserir,Série SC no geojson vai só até SC 11
SC 14,PASTOS PECUARIA.kmz,FALTA – inserir,Série SC no geojson vai só até SC 11
SC 15,PASTOS PECUARIA.kmz,FALTA – inserir,Série SC no geojson vai só até SC 11
SC 16,PASTOS PECUARIA.kmz,FALTA – inserir,Série SC no geojson vai só até SC 11
SC 17,PASTOS PECUARIA.kmz,FALTA – inserir,Série SC no geojson vai só até SC 11
SC 18,PASTOS PECUARIA.kmz,FALTA – inserir,Série SC no geojson vai só até SC 11
SC 19,PASTOS PECUARIA.kmz,FALTA – inserir,Série SC no geojson vai só até SC 11
SC 20,PASTOS PECUARIA.kmz,FALTA – inserir,Série SC no geojson vai só até SC 11
SC 21,PASTOS PECUARIA.kmz,FALTA – inserir,Série SC no geojson vai só até SC 11
SC 22,PASTOS PECUARIA.kmz,FALTA – inserir,Série SC no geojson vai só até SC 11
SC 23,PASTOS PECUARIA.kmz,FALTA – inserir,Série SC no geojson vai só até SC 11
SC 24,PASTOS PECUARIA.kmz,FALTA – inserir,Série SC no geojson vai só até SC 11
SC 25,PASTOS PECUARIA.kmz,FALTA – inserir,Série SC no geojson vai só até SC 11
SC 26,PASTOS PECUARIA.kmz,FALTA – inserir,Série SC no geojson vai só até SC 11
SC 27,PASTOS PECUARIA.kmz,FALTA – inserir,Série SC no geojson vai só até SC 11
SC 28,PASTOS PECUARIA.kmz,FALTA – inserir,Série SC no geojson vai só até SC 11
SC 29,PASTOS PECUARIA.kmz,FALTA – inserir,Série SC no geojson vai só até SC 11
SD 15,PASTOS PECUARIA.kmz,FALTA – inserir,Série SD no geojson vai só até SD 14
SD 16,PASTOS PECUARIA.kmz,FALTA – inserir,Série SD no geojson vai só até SD 14
SD 17,PASTOS PECUARIA.kmz,FALTA – inserir,Série SD no geojson vai só até SD 14
SD 18,PASTOS PECUARIA.kmz,FALTA – inserir,Série SD no geojson vai só até SD 14
SD 19,PASTOS PECUARIA.kmz,FALTA – inserir,Série SD no geojson vai só até SD 14
SD 20,PASTOS PECUARIA.kmz,FALTA – inserir,Série SD no geojson vai só até SD 14
SD 21,PASTOS PECUARIA.kmz,FALTA – inserir,Série SD no geojson vai só até SD 14
SD 22,PASTOS PECUARIA.kmz,FALTA – inserir,Série SD no geojson vai só até SD 14
SE 16,PASTOS PECUARIA.kmz,FALTA – inserir,Série SE no geojson vai só até SE 15
SE 17,PASTOS PECUARIA.kmz,FALTA – inserir,Série SE no geojson vai só até SE 15
SE 18,PASTOS PECUARIA.kmz,FALTA – inserir,Série SE no geojson vai só até SE 15
SE 19,PASTOS PECUARIA.kmz,FALTA – inserir,Série SE no geojson vai só até SE 15
ST2 21,PASTOS PECUARIA.kmz,FALTA – inserir,Série ST2 no geojson vai só até ST2 20
ST1 1B,PASTOS PECUARIA.kmz,VERIFICAR,geojson tem 'ST1 1'; subdivisão B pode estar faltando
SL 10,PASTOS PECUARIA.kmz,JÁ EXISTE,"É o mesmo que 'SL 10 Varjão' no geojson (mesma geometria, 26 ha) – só muda o nome"
LINHA DIVISA,RONCADOR 2025- GERAL.kml,IGNORAR,Não é talhão – é a linha de divisa da propriedade (polígono de 52.939 ha)
