Poligono A,Poligono B,Sobreposicao_ha,Sobreposicao_m2
AP10,AP11,2.9213,29212.6
AP03,AP05,1.1732,11732.4
AP12,SJ 22,0.7955,7955.4
GD08,GD12,0.7127,7127.1
AP04,AP06,0.6842,6842.0
ST2 13,ST1 14,0.4321,4321.3
ST01,PVST02,0.3936,3936.1
DR 1C,DR 1D,0.389,3889.6
AP07,AP10,0.3383,3382.9
ST1 Varjão,ST1 Varjão Ipê,0.3143,3143.4
AP02,AP04,0.3064,3064.0
SJ Varjão,SJ 22,0.2001,2001.1
DR 5C,DR 5E,0.1763,1763.2
BT01,CT 1,0.1582,1582.2
AP01,SJ 22,0.1463,1462.9
AP01,AP02,0.1403,1403.3
AP08,AP11,0.1258,1257.8
ST2 19,ST02,0.1256,1255.6
ST02,PVST04,0.1213,1212.6
CT 6,CT 7,0.1188,1188.4
PT07,PT08,0.1161,1160.8
PV03,ST2 Varjão 3,0.1138,1138.4
ST2 5,ST2 6B,0.1096,1095.8
SD02,CT 1,0.1065,1065.3
ST02,PVST03,0.1058,1058.4
DR 3C,DR 3D,0.1022,1022.0
DR 4A,DR 4B,0.0991,990.7
ST2 5,ST2 6A,0.0937,937.5
ST1 6,ST1 Varjão,0.0882,881.9
ST2 1,ST1 15,0.0873,872.7
SD01,CT 1,0.0868,867.9
ST06,PVST06,0.0866,865.9
SA 7,SL 25B,0.0866,865.9
SL 23,SL 24,0.0839,839.2
ST1 6,ST1 8,0.0805,805.1
DR 1C,DR 2D,0.0788,788.0
ST1 2B,ST1 Varjão,0.0764,763.8
SB 4,SB 5,0.0728,728.5
SL 3B,SL 4B,0.0722,721.5
DR 2C,DR 3D,0.0696,696.4
CT 8,CT 9,0.0695,694.6
DR 4D,DR 4E,0.0631,631.2
GD P2,GD P3,0.0618,617.8
GD12,GD P4,0.0598,598.3
SL 1A,SL 1B,0.0576,575.7
SL 2B,SL 3B,0.0553,552.7
ST1 13,ST1 15,0.0533,532.7
SE 6,SE 7,0.0517,516.7
SG 8,SG 10,0.0506,506.0
SF 7,SF 8,0.0488,488.3
DR 5C,DR 5D,0.0484,484.0
SC 9,SC 10,0.0467,467.4
SB 6,SB 7,0.0465,465.0
ST2 3,ST2 4,0.0465,464.6
SD 4,SD 5,0.0458,458.0
DR 3A,DR 3B,0.0456,456.2
AP04,AP05,0.0455,455.0
SL 18,SL 20,0.0453,452.8
SE 1,SE 2,0.043,429.5
ST1 10,ST1 12,0.0429,428.8
DR 4C,DR 4E,0.0429,428.8
SE 5,SE 6,0.0409,409.5
SD 2,SD 1,0.0407,406.7
ST2 20,ST02,0.0397,397.2
SF 8,SG 7,0.0387,387.2
ST2 18,ST02,0.0361,361.0
DR 2B,DR 3A,0.036,359.7
GD07,EUC01,0.0343,343.5
SD 13,SD 14,0.0334,334.3
ST1 1,ST1 3,0.0329,329.4
DR 3B,DR 4A,0.0327,327.0
ST1 5,ST1 Piq,0.0322,322.4
SA 2,SA 3,0.0318,317.8
SE 4,SF 4,0.0313,312.6
ST06,PVST05,0.031,309.9
SL 5B,SL 6B,0.0307,307.3
GD12,GD P2,0.0298,297.6
SA 10,SA 11,0.0293,293.3
DR 5C,DR 6D,0.0293,293.1
GD12,GD P1,0.0292,292.3
SG 5,SG 4,0.0289,289.3
SE 12,SE 13,0.0286,285.9
DR 3C,DR 4E,0.0283,283.3
SL 4B,SL 5B,0.0281,281.5
